Station_Name,Shinkansen_Line,Year,Prefecture,Distance from Tokyo st,Company
Akita,Akita_Shinkansen,1997,Akita,662.6,JR_East
Annaka-Haruna,Hokuriku_Shinkansen,1997,Gunma,123.5,JR_East
Karuizawa,Hokuriku_Shinkansen,1997,Nagano,146.8,JR_East
Sakudaira,Hokuriku_Shinkansen,1997,Nagano,164.4,JR_East
Ueda,Hokuriku_Shinkansen,1997,Nagano,189.2,JR_East
Nagano,Hokuriku_Shinkansen,1997,Nagano,222.4,JR_East
Iyama,Hokuriku_Shinkansen,2015,Nagano,252.3,JR_East
Joetsu-Myoko,Hokuriku_Shinkansen,2015,Niigata,281.9,JR_East
Itoigawa,Hokuriku_Shinkansen,2015,Niigata,318.9,JR_West
Kurobe-Unazukionsen,Hokuriku_Shinkansen,2015,Toyama,358.1,JR_West
Toyama,Hokuriku_Shinkansen,2015,Toyama,391.9,JR_West
Shin-Takaoka,Hokuriku_Shinkansen,2015,Toyama,410.8,JR_West
Kanazawa,Hokuriku_Shinkansen,2015,Ishikawa,450.5,JR_West
Shin-Tosu,Kyushu_Shinkansen,2011,Saga,1203.5,JR_Kyushu
Kurume,Kyushu_Shinkansen,2011,Fukuoka,1210.6,JR_Kyushu
Chikugo-Funagoya,Kyushu_Shinkansen,2011,Fukuoka,1226.4,JR_Kyushu
Shin-Omuta,Kyushu_Shinkansen,2011,Fukuoka,1244.2,JR_Kyushu
Shin-Tamana,Kyushu_Shinkansen,2011,Kumamoto,1265.3,JR_Kyushu
Kumamoto,Kyushu_Shinkansen,2011,Kumamoto,1293.3,JR_Kyushu
Shin-Yatsushiro,Kyushu_Shinkansen,2004,Kumamoto,1326.2,JR_Kyushu
Shin-Minamata,Kyushu_Shinkansen,2004,Kumamoto,1369,JR_Kyushu
Izumi,Kyushu_Shinkansen,2004,Kagoshima,1385,JR_Kyushu
Sendai,Kyushu_Shinkansen,2004,Kagoshima,1417.7,JR_Kyushu
Kagoshima-Chuo,Kyushu_Shinkansen,2004,Kagoshima,1463.8,JR_Kyushu
Okutsugaru-Imabetsu,Hokkaido_Shinkansen,2016,Aomori,752.2,JR_Hokkaido
Kikonai,Hokkaido_Shinkansen,2016,Hokkaido,827,JR_Hokkaido
Shin-Hakodate-Hokuto,Hokkaido_Shinkansen,2016,Hokkaido,862.5,JR_Hokkaido
