Employee_ID,job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score,burnout_risk_level
ab6eee8e-6939-48ed-96d7-e1dcafa948eb,Designer,15,2.9,8.0,29.6,3.4,High,2.3,7.4,1.68,6,8.0,4.3,10.0,77.0,High
425f2173-e7fd-4c00-b726-7e0ac2ae5ce3,Analyst,2,7.0,17.2,29.8,2.2,Low,3.8,7.3,1.5,1,7.6,4.7,6.49,67.0,Medium
6375203e-2fd1-4aef-bbce-56b96f1de49d,Writer,9,23.7,59.9,22.1,2.3,Medium,1.7,4.5,3.28,6,6.0,2.6,10.0,79.5,High
9bf00500-b5f2-43fc-9d0c-07d55b7e3d07,Developer,2,21.7,54.2,17.5,0.2,Medium,9.6,9.4,3.37,3,3.7,2.3,10.0,59.4,High
1f912728-11b3-4df0-b240-2437afe9a3d6,Analyst,17,9.5,29.7,16.6,1.9,Medium,2.7,4.9,3.57,1,4.7,7.3,7.08,76.9,High
7cb4fd8b-f757-413d-ad53-f7ec99b0ff09,Analyst,20,9.6,21.5,30.2,1.1,Medium,8.8,8.7,3.91,10,3.9,2.4,10.0,61.8,High
0fde41df-40eb-477f-b099-952e8bc00bee,Analyst,10,15.9,35.3,22.7,4.0,High,4.2,10.5,0.1,4,4.6,2.3,10.0,70.2,High
8276ab7e-e5bd-461b-841f-3e51d27a71e2,Marketer,7,9.2,27.8,24.4,1.2,Low,11.6,11.5,2.43,7,4.4,4.7,7.36,67.0,High
2cb80db1-9d35-4221-85f0-44166b8afb7f,Developer,20,20.3,46.6,13.3,4.7,Medium,1.0,6.1,0.1,8,5.8,5.8,8.18,94.6,High
6e54d30b-a2d0-49d2-8d8e-2ac8049bb0a8,Designer,19,4.6,14.3,26.1,4.2,High,3.7,9.6,0.1,1,3.3,4.4,10.0,77.3,High
b231aadf-6403-4c7b-a6bd-7038c34e04ea,Designer,1,3.8,9.0,25.0,0.9,Medium,10.3,10.4,3.96,3,3.4,4.7,9.0,36.2,High
3360335f-6e9d-4f29-8ca8-96e8d29728d6,Analyst,7,12.1,28.5,20.5,0.4,Medium,3.8,7.0,3.7,3,4.3,5.4,8.48,58.6,High
ca19029d-53e5-47d2-9dac-6996a4acf3b5,Marketer,14,7.7,15.9,28.2,1.6,Low,1.0,10.3,0.33,8,5.4,6.8,5.81,84.3,Medium
9610ccf3-4a49-46c3-95c5-9402d0650ace,Analyst,6,15.8,41.8,19.1,0.8,Low,4.0,6.0,4.73,7,6.1,6.3,6.18,74.0,Medium
5b8d64c1-f14c-45a6-a121-81398b75f31a,Designer,5,3.1,11.8,26.0,3.9,Low,8.1,11.0,0.1,4,3.9,6.7,5.88,58.1,Medium
36623486-00c5-4ec7-8078-3c598aabc776,Developer,3,9.8,19.8,25.6,3.7,Low,4.8,10.0,0.1,1,4.3,5.7,6.63,61.2,Medium
a711e639-7076-465a-ba98-e37067685493,Developer,1,16.8,41.5,14.9,0.9,Low,1.0,5.7,5.69,2,6.3,7.8,5.06,69.0,Medium
db423de7-5226-48e4-964c-268ddb5a119c,Writer,12,5.2,18.2,29.3,0.7,Medium,1.0,7.3,2.45,1,5.7,5.6,8.33,73.1,High
d4fbea7a-9264-43b1-b026-efd39efd0c35,Developer,6,24.0,64.0,10.0,2.3,Low,10.3,8.7,5.15,8,3.7,4.9,7.21,70.5,High
30842671-0bd2-4164-a5fd-a99f36fb4c20,Writer,13,17.0,46.6,10.0,2.7,Medium,1.7,6.4,4.1,7,5.9,7.3,7.07,78.8,High
9e038801-fb96-46f4-b584-0f4229875499,Writer,20,9.0,28.6,15.2,2.3,Medium,3.6,4.6,1.32,7,3.9,7.6,6.87,75.1,Medium
5c77797f-6794-4315-aa33-5c935ba21cce,Marketer,15,9.8,8.2,32.2,2.7,Medium,10.9,11.3,2.95,5,2.4,2.9,10.0,43.4,High
eac66dd2-d57c-4e67-889b-36ad8cba272a,Marketer,8,8.6,23.7,23.3,2.9,Medium,7.1,7.1,1.54,4,5.3,4.8,8.94,60.5,High
d12f681b-5a50-4b0a-8883-2cdb60798d7b,Writer,8,12.8,29.1,10.0,1.0,Medium,3.0,9.6,0.29,2,4.7,8.0,6.55,69.4,Medium
5f07e312-13c1-491b-bb63-a8f643d26396,Developer,12,16.8,48.0,22.9,1.4,Medium,2.8,6.4,1.68,10,4.2,3.9,9.6,73.7,High
7e7f64f0-c05b-402f-b28a-3a3be5c0c5d0,Analyst,1,14.1,31.6,20.2,4.0,Medium,4.9,3.2,0.1,2,2.7,4.7,9.0,57.3,High
59387eb1-8099-41ad-acf0-7fb5f4dc9305,Analyst,5,8.6,27.7,20.0,2.1,Low,7.3,4.6,1.11,8,4.6,7.0,5.65,67.4,Medium
01bcb014-dc82-46ce-903d-4638a2d37c43,Designer,10,7.2,15.0,27.1,4.4,Low,5.9,7.5,0.91,7,6.1,5.9,6.46,71.2,Medium
ccbacc3d-0668-4484-a237-b32d69bc0698,Marketer,18,0.7,0.0,24.0,1.7,Medium,3.8,3.4,2.21,3,4.6,7.4,7.01,65.3,High
f84558ed-34b6-4f84-8e17-feb4707c14bd,Writer,4,8.4,24.6,30.4,4.0,Medium,4.0,5.3,3.1,8,5.4,3.8,9.67,50.5,High
a28ba071-5cbe-4ad8-b192-edb3087f45c1,Developer,18,25.0,66.4,12.7,0.8,High,4.1,8.9,2.11,4,4.7,2.5,10.0,91.4,High
15961b57-5ee1-413e-8297-6d343605c2f8,Manager,19,2.3,10.1,27.7,3.4,Low,15.399999999999999,13.5,1.36,5,1.4,3.8,8.03,63.3,High
bbbfd5df-0906-49e3-a488-c05256257472,Manager,9,7.0,21.0,21.6,2.0,Low,15.399999999999999,11.0,1.99,1,2.6,4.5,7.51,53.1,High
a824826a-a7ed-480b-a78a-36fe2b1c3642,Marketer,6,9.8,23.1,23.9,1.0,Medium,3.8,7.2,3.21,3,4.9,4.8,8.92,47.6,High
08afd896-8178-40e7-8056-7f37f10c0514,Designer,4,0.0,0.2,20.8,1.3,High,1.0,2.0,2.23,5,7.6,7.6,8.51,55.4,High
c625ef87-8861-4c61-b096-4ecfa480ffa6,Manager,12,4.9,14.3,26.5,1.9,Medium,15.399999999999999,20.0,2.88,5,1.0,1.0,10.0,42.2,High
24091eaf-0470-42c4-944d-02a28d4cfbe4,Writer,19,20.5,51.0,19.6,1.6,High,3.2,7.7,2.8,7,5.5,2.2,10.0,82.8,High
0830c48e-6081-4eb5-932f-1a0447b16781,Analyst,1,5.6,19.4,26.6,1.1,High,4.2,11.8,4.37,2,5.4,3.9,10.0,40.0,High
97124e34-c179-471a-9cc0-89a70cebb8d2,Developer,13,22.3,52.3,10.0,0.8,High,5.5,4.2,4.01,1,5.2,3.6,10.0,76.8,High
2961b145-7d26-4c85-886d-ba45f30175ce,Manager,7,7.5,18.2,18.4,3.8,Medium,12.1,12.5,0.88,7,4.0,5.0,8.78,41.9,High
cd3ffc21-bd27-4ef7-8771-b72f34be671b,Marketer,19,10.3,24.9,20.3,3.5,High,2.9,4.5,2.94,9,6.2,4.6,10.0,73.9,High
5a2a02a7-c119-429e-9c7e-55b070dd166d,Marketer,3,22.4,57.0,13.7,1.0,Low,1.2,4.5,3.23,8,4.8,6.7,5.89,81.7,Medium
736817f5-7b39-4f7e-8fcd-34983a60b3b2,Analyst,17,4.8,8.5,22.8,1.3,Medium,10.1,7.3,0.94,2,4.0,5.1,8.71,64.2,High
660953ba-e427-43e1-a030-d3c5b0805003,Marketer,15,11.3,25.2,26.1,2.6,Low,6.5,8.0,0.1,7,4.9,5.0,7.13,78.0,High
ae5f2dde-6319-41d8-858a-bd360e7978cc,Manager,5,5.0,11.0,18.8,0.9,Low,12.1,8.8,4.01,5,2.9,7.0,5.65,46.6,Medium
503bd147-f63b-4ec7-b09a-16c77e1fe085,Developer,7,25.1,70.2,10.0,2.4,High,6.2,9.6,1.4,2,5.3,2.7,10.0,84.4,High
079b6623-af47-46a0-8a41-db14fa8c8619,Manager,3,6.2,18.9,30.7,2.2,Low,8.9,5.1,2.84,5,5.2,4.6,7.45,65.0,High
833090ff-0bc3-4fcc-b5d0-ee8f4d275c89,Designer,1,6.6,17.7,24.0,2.6,Low,9.8,11.3,4.12,7,5.2,5.9,6.47,47.1,Medium
0cb1c238-fb47-4f61-8e8b-b4f1d1c918a3,Marketer,4,6.8,22.6,22.3,1.5,High,5.5,8.7,2.83,6,4.9,4.4,10.0,41.5,High
fdb22b8c-a070-434f-a276-9a7d42628940,Manager,4,5.1,16.1,19.9,1.0,Low,11.4,10.2,0.67,9,3.8,6.9,5.73,57.7,Medium
4b2e14c1-8b83-4f38-8104-52f85cadbe04,Developer,10,18.8,49.5,16.2,0.4,Low,1.2,3.0,3.99,3,6.8,7.0,5.67,92.3,Medium
97d3bd14-5d4d-480f-83ad-02300ebf4534,Marketer,14,9.8,29.3,24.5,0.9,High,5.0,9.0,1.17,4,4.8,2.5,10.0,65.0,High
3a6f5b2c-8ab3-49f3-a203-a1db3ea5cf37,Marketer,5,2.5,0.0,26.0,0.2,Medium,5.0,10.1,2.45,3,4.6,6.1,7.96,50.5,High
5476a3c3-5620-4989-9759-fd7a32ac9ff3,Analyst,17,7.3,13.4,23.2,3.0,Low,4.4,6.0,0.1,6,6.1,7.3,5.44,82.2,Medium
b06f9d4c-38a5-410f-a9d5-7b415730aa05,Writer,15,17.4,37.2,12.0,2.5,Medium,1.0,3.5,4.05,8,6.8,6.9,7.37,79.0,High
7908cb9f-9fd1-4c24-a10f-d3d532712a72,Marketer,9,3.9,7.8,32.7,2.4,Low,5.2,11.9,2.15,1,4.6,5.5,6.76,49.8,Medium
13fdcd91-59cd-4bdd-83e3-68cf784d90e1,Designer,10,8.6,31.9,12.9,0.9,Medium,2.3,8.2,4.92,2,6.2,8.6,6.13,73.4,Medium
62da917e-bcd0-462e-b37d-3678af0681d7,Designer,8,6.3,19.4,17.9,2.5,High,3.9,8.6,0.77,5,4.7,6.0,9.69,50.1,High
ab930e2e-52e8-4c81-960a-8e01c19a30eb,Analyst,1,8.4,19.9,15.8,4.8,Medium,8.0,7.9,0.1,6,6.4,4.7,7.73,71.0,High
fe3e25bb-a857-4948-b904-504382edb527,Marketer,13,2.6,16.3,23.0,3.0,High,3.3,8.9,2.47,5,6.3,5.8,9.83,53.0,High
b708c2eb-7e0c-44b5-bfb3-8e878d85e8f4,Analyst,17,10.9,23.3,27.9,1.5,High,5.6,5.4,4.1,7,6.5,1.9,10.0,62.7,High
c9a1f6eb-0402-4db1-86cd-efccc8793675,Designer,7,7.8,26.4,34.7,1.1,High,8.2,3.9,4.59,3,4.6,1.0,10.0,46.1,High
93135d62-593b-4597-827f-034d2007db88,Manager,13,10.2,21.1,19.4,5.7,High,15.399999999999999,14.3,1.18,5,4.1,1.6,10.0,67.9,High
05a65e0e-02b0-46f0-8c88-d1aec80d5928,Analyst,18,13.1,35.7,28.1,1.3,High,7.5,7.0,4.27,2,4.0,1.0,10.0,74.4,High
57df1115-a47d-43fe-ac96-0ef1ebfebf52,Developer,15,11.0,30.0,16.1,4.1,Low,8.3,9.3,0.95,5,3.4,7.1,5.57,77.2,Medium
b01577c6-7d15-49fa-a27c-cd45e092eaa6,Writer,5,18.4,49.7,15.3,2.8,Medium,6.4,8.3,4.03,7,3.3,4.5,9.16,52.6,High
dc3187f6-69b4-4638-9183-a5b78338e84c,Analyst,17,7.1,18.8,25.5,0.7,Medium,7.9,11.8,0.1,10,4.6,4.4,9.23,68.3,High
6496fe25-15e4-4ed0-abdb-6dcc7564c6ed,Analyst,7,9.8,41.6,12.6,3.0,High,6.4,9.1,3.39,10,5.7,3.8,10.0,69.1,High
2d5e729d-a2b9-4def-827e-f5efde8c8897,Developer,14,15.4,38.3,19.4,2.6,Low,7.2,8.9,1.82,9,4.4,5.5,6.77,80.7,Medium
bfde5932-82eb-47a7-97f0-bc59bd3b2fcc,Writer,9,20.1,43.4,15.9,2.4,Low,6.4,7.2,3.78,2,5.6,5.4,6.84,70.6,Medium
3d1839aa-a4e9-4e3a-892a-cfb032d2c315,Developer,17,14.6,37.8,17.9,1.0,High,1.0,4.7,3.8,6,4.9,4.6,10.0,58.6,High
6e6b5f08-b680-4aa6-a800-720c686b62ca,Marketer,19,11.0,25.7,16.6,4.7,Low,5.3,6.9,0.1,8,5.3,7.8,5.07,82.4,Medium
be63ccb6-c709-41f8-8504-4f288f3ba597,Manager,16,2.0,9.6,26.3,2.4,Low,15.399999999999999,11.6,3.16,7,1.7,3.6,8.19,48.1,High
2c7157ad-1993-4390-b284-b37d6c20fc8c,Manager,11,7.3,16.2,19.1,4.4,Low,11.4,12.6,2.94,1,3.0,6.5,6.02,53.9,Medium
fa0d4b50-2efe-4f35-912d-990c97485ebb,Designer,18,4.9,13.9,21.9,1.4,Low,2.7,8.7,1.52,1,4.6,8.6,4.47,80.3,Low
7a1d050e-3907-403d-8223-389b1bf148ee,Manager,14,6.8,20.5,13.0,2.1,Low,11.8,9.8,0.81,8,4.2,8.1,4.85,78.1,Medium
41ad87cf-5d8a-4da4-97c3-0db7cbfc9dc4,Analyst,4,13.8,29.8,17.3,2.9,Low,2.1,4.1,1.12,8,6.3,7.7,5.14,77.1,Medium
cca8db36-0e3b-4170-94e6-433a28230ec5,Manager,1,6.1,19.4,21.3,1.6,High,14.9,9.4,3.79,9,1.9,2.4,10.0,31.7,High
d5bc8a16-82d0-476b-97e6-ed85724445d8,Manager,5,9.8,3.2,24.7,2.0,Medium,13.5,14.9,2.91,1,1.0,4.7,9.37,29.2,High
b4dc06b6-a77c-4663-8960-9c2241df9224,Writer,15,8.4,25.3,22.7,4.8,Medium,1.0,3.1,0.1,2,5.7,6.5,7.68,90.4,High
b58eae48-ca7d-4769-b7cb-b997b3aa6ec2,Analyst,10,10.8,36.6,12.1,1.1,Medium,2.8,4.5,3.57,1,6.5,8.1,6.49,75.0,Medium
9e4a80a9-45a3-461f-9fc4-4a68ca90c0c7,Marketer,5,6.8,8.6,26.6,0.1,Medium,6.8,8.8,2.62,9,5.5,4.5,9.16,47.5,High
a6bbb82f-3c1c-4861-84c1-1c028bd7db84,Developer,20,16.9,39.1,19.5,0.9,High,1.0,6.0,2.5,9,7.0,3.6,10.0,83.2,High
460a8169-6565-4cdd-9b3e-dbc8d1f2b484,Marketer,20,13.6,33.6,23.9,4.3,High,2.8,7.7,0.1,5,6.8,2.9,10.0,95.5,High
b39d4a85-eac0-455d-9d38-10c2fa9e81c9,Designer,16,4.4,10.0,22.2,0.2,High,5.0,6.8,4.4,4,6.2,5.1,10.0,68.5,High
2419b823-da48-442b-9642-fb4ac3219179,Marketer,20,7.9,27.3,19.4,2.8,Medium,7.0,9.7,0.37,7,4.0,5.9,8.11,81.3,High
98d44103-91d0-40d6-bde0-81bdf7aa0f13,Manager,5,11.5,21.6,20.5,1.4,High,10.1,9.3,4.88,5,2.5,2.5,10.0,43.2,High
716d45d8-a863-4d76-8adc-1323a66ffa2b,Developer,12,15.8,37.6,13.1,0.1,Low,10.2,13.1,4.94,9,4.5,6.2,6.25,63.1,Medium
f59f58a3-48c3-4a52-86ca-687bf434cb7a,Designer,7,5.9,13.6,27.3,1.2,Low,6.7,5.3,2.71,4,3.2,6.0,6.39,41.8,Medium
0348e4c1-fbe1-4ec4-9d2e-b1f7c2adf7d3,Designer,16,7.7,14.0,31.8,3.6,Medium,2.6,6.2,0.78,7,7.3,4.0,9.53,70.6,High
e56b4387-3659-40d0-ae7d-a6791458de27,Marketer,7,9.8,22.6,21.3,0.3,Medium,4.8,4.8,3.08,2,4.9,5.2,8.64,55.5,High
5c25338b-342b-49e2-a17b-4f00c97da58c,Writer,19,18.7,49.0,13.9,1.9,Low,6.4,9.3,0.68,2,5.0,6.2,6.24,94.1,Medium
19b0a4cc-be99-4b60-b6e2-74378052b246,Marketer,1,14.2,34.7,19.2,0.8,Medium,6.8,9.3,3.38,6,7.0,4.5,9.16,68.8,High
22f3c84b-7109-4591-b5d2-6eb3817ffae1,Developer,15,15.8,34.7,25.4,2.1,High,1.0,6.7,3.0,5,5.9,2.4,10.0,76.0,High
8046e7a3-b47e-4d31-84c2-51678032713e,Developer,6,18.3,43.2,10.0,1.9,Low,4.0,8.3,0.81,2,4.2,7.9,4.99,84.3,Medium
f0ccb5c5-a96e-4502-bb7b-82aca236ab0c,Manager,8,9.8,33.8,10.0,1.2,High,14.3,12.2,2.38,4,3.1,4.1,10.0,49.2,High
22c44ad5-26c8-4587-89ae-7aae71ca7b6f,Analyst,13,10.9,32.6,16.7,0.8,Medium,2.4,6.8,2.86,8,7.4,7.0,7.3,83.3,High
c5f3ad2f-7868-4daf-a773-057ab67cae36,Manager,10,10.1,26.8,23.7,3.1,Low,13.6,7.8,0.1,6,3.8,4.2,7.74,73.0,High
37fa40e3-e4a6-4228-8473-4e56120306a9,Manager,2,3.1,11.1,21.7,0.6,Medium,15.399999999999999,13.1,4.84,3,2.1,3.6,9.82,20.5,High
75dc9d7d-aeeb-4b75-aa8b-4a742df3f1c1,Designer,1,0.9,1.0,27.0,0.9,Low,4.8,7.5,2.74,10,3.2,7.8,5.06,46.8,Medium
c2013097-5fc3-4659-a654-33fc893c93a1,Manager,11,5.3,20.3,25.6,2.7,Low,15.1,13.2,0.1,6,2.4,4.5,7.51,59.0,High
7e06e584-5e77-4541-a6dc-2e505bea2e60,Marketer,1,1.9,13.1,22.6,3.2,Medium,5.8,4.7,3.39,7,6.1,6.9,7.37,52.9,High
da6139fb-2489-4c11-a419-21e242cbafc6,Developer,6,9.8,41.8,21.9,2.7,Low,6.2,9.4,0.27,2,6.4,5.0,7.15,85.3,High
51d163f3-ebf7-4c9b-a90d-ef76201bb467,Manager,3,1.6,0.0,24.9,1.2,High,9.7,12.1,0.8,5,3.6,4.7,10.0,41.2,High
75fb11a2-ae1d-48d5-96f2-84f12f0311f2,Analyst,11,9.8,17.7,25.3,5.0,Low,7.2,7.8,2.81,9,3.4,5.6,6.69,61.9,Medium
c2f93938-1295-48e9-a984-586acfd3f4fa,Designer,3,12.9,33.0,10.0,0.5,Low,9.3,13.5,3.28,4,3.0,4.7,4.93,62.7,Medium
befa445c-1cc1-4d8e-bea4-908e397c8f1f,Developer,8,0.0,0.0,29.9,2.6,Low,5.1,7.5,2.84,3,6.7,7.2,5.5,57.1,Medium
321b52d7-8191-42f4-b91e-60565ea15297,Manager,7,9.8,21.8,22.0,7.5,Medium,5.6,8.2,0.1,1,4.9,6.4,7.76,68.3,High
3ad59f0f-13d3-4593-ab98-c30161c9ba79,Marketer,2,6.6,18.3,33.7,2.8,Low,7.5,9.8,2.64,4,4.9,4.0,7.87,52.3,High
b41ae1e2-3f6b-487c-8c08-a87e8a5fa642,Analyst,4,4.0,13.0,30.3,1.8,Low,4.6,5.5,0.23,8,5.3,6.3,6.18,70.7,Medium
b3d40ad5-f1b9-4b6e-8e0e-43fbdda251bf,Marketer,13,9.5,21.8,26.1,1.2,Low,10.7,13.0,1.47,6,5.0,4.4,7.58,68.3,High
72db4847-68f2-435a-b3f5-0e6174ada2b1,Developer,20,13.3,32.6,13.9,3.9,High,8.4,9.0,0.95,6,4.4,4.1,10.0,78.3,High
053c71da-29ef-4a80-93d2-0bb638f9b84a,Developer,19,12.8,26.4,24.8,0.9,Low,5.8,8.5,3.59,9,4.8,5.2,7.0,79.6,Medium
7043b089-b036-434a-b8e8-cf2543944024,Developer,15,13.4,29.7,20.9,0.3,Low,2.5,7.0,0.24,9,6.0,6.8,5.81,89.5,Medium
a979d9bc-30b5-465d-b270-08f8ead1864d,Writer,15,15.3,38.1,11.8,2.7,Medium,8.3,7.8,1.86,2,4.2,5.6,8.32,74.4,High
ea32386a-126c-430a-a26b-7c8006e29e6e,Designer,6,5.1,6.4,25.2,1.0,High,4.8,8.9,1.11,5,4.4,4.2,10.0,42.7,High
19a95c16-ea02-46ad-a434-6223bb2c2973,Developer,3,11.7,32.1,18.4,1.6,High,4.8,2.9,2.12,4,2.9,4.3,10.0,39.8,High
9a243706-b84c-4660-8461-72188bad405d,Designer,3,1.7,4.2,29.3,0.9,High,9.1,11.2,3.86,10,5.2,3.0,10.0,40.4,High
6b6512fb-e13c-4752-a2ec-7876fff71c77,Manager,15,1.5,4.0,24.2,1.3,Medium,5.0,13.6,0.1,5,4.4,6.8,7.44,69.2,High
a36f5eee-6870-4d98-809a-7dd301f25d44,Marketer,3,12.3,31.0,19.7,3.1,Medium,1.6,4.9,2.47,10,5.4,6.1,7.97,58.6,High
4faa9744-fb7d-466f-a324-0f25532e9a23,Designer,8,6.7,29.7,10.0,0.4,Medium,8.6,11.8,1.98,7,4.5,8.2,6.42,72.3,Medium
ddfc1555-b0ea-4dbb-a7c4-84622dc7ba33,Analyst,5,12.1,19.1,29.3,1.1,Low,1.0,6.6,3.28,6,4.9,5.4,6.84,53.1,Medium
2740594b-2bdb-4598-93a6-c82d2ca68223,Developer,8,10.9,26.8,16.7,2.7,Low,1.0,7.0,3.87,8,5.6,8.8,4.32,63.4,Low
8748a73e-790c-49c8-8cf6-e12e99da9181,Manager,1,11.1,30.5,19.3,0.3,High,8.8,8.5,1.16,6,6.0,3.2,10.0,69.1,High
9f3352e6-2e1e-4e3a-aa5e-6eb12a0d6b80,Designer,17,5.6,10.6,26.5,2.6,Low,4.3,6.6,0.1,9,4.5,6.9,5.73,71.6,Medium
1b520aab-3959-4f4d-8c94-5ec05847699c,Developer,18,20.0,41.2,19.8,1.6,Low,2.4,9.5,2.75,7,5.3,5.5,6.78,87.2,Medium
43b81272-96f4-41e6-accf-8c93434f7aff,Marketer,6,9.8,24.3,20.0,4.6,High,3.8,6.2,0.1,7,5.4,3.5,10.0,71.5,High
0bfc171c-0285-441c-8d77-53957c2b1409,Analyst,14,5.3,16.1,27.2,1.3,Medium,6.8,9.1,0.54,4,3.9,4.7,9.01,60.3,High
3804da35-8f0e-403e-97d8-5aa58b342442,Analyst,11,16.5,51.0,16.8,1.0,Low,6.1,9.2,4.96,2,4.7,6.2,6.26,71.1,Medium
5dc9c980-876f-4037-98ae-cee61e662208,Manager,2,6.0,20.8,20.7,4.0,High,12.4,10.5,1.49,1,4.8,3.2,10.0,56.8,High
1e6fba20-2a2d-4c80-8e0d-c4ec51960698,Marketer,16,13.5,36.2,13.8,1.7,Low,7.4,7.7,0.1,9,4.9,7.3,5.43,82.9,Medium
6e41675d-f31d-4145-9dcb-d29f7bc2119c,Analyst,14,10.9,31.2,18.9,2.9,High,8.5,10.7,2.96,5,4.2,3.4,10.0,61.1,High
ebe81dd5-af22-49db-93ce-60b2280d785e,Analyst,5,14.8,37.0,16.2,5.4,Low,5.2,10.6,2.63,8,4.7,7.0,5.67,75.7,Medium
c86d7da5-d370-4a33-9d8d-6c4efa3b36fb,Analyst,5,7.2,14.9,31.2,3.4,High,4.2,9.0,3.42,7,5.2,2.3,10.0,48.8,High
9a2fa19f-ac6a-4afe-84fb-ced666a74804,Developer,20,12.8,36.9,22.5,2.5,High,8.9,8.4,3.65,8,3.8,2.0,10.0,72.6,High
97e43726-5820-4ebc-8bfe-c8b4cc7fc0fd,Developer,17,17.4,43.2,14.4,2.3,Medium,4.7,6.6,1.15,9,3.0,5.4,8.49,82.3,High
ef02377d-06c4-483e-85a4-3a66b2e0d63a,Manager,3,3.4,6.4,24.5,1.0,Low,13.7,11.5,1.12,5,3.9,5.6,6.7,48.0,Medium
ffbcaf5e-24a5-40b7-818d-e5c374697470,Marketer,8,9.6,25.2,22.3,3.9,High,1.0,10.2,0.1,3,5.9,4.8,10.0,71.2,High
c03975fd-b1ab-4ea5-8d10-08a5cc219c3d,Developer,18,18.1,45.9,16.8,1.6,High,5.4,8.8,4.27,3,5.4,2.9,10.0,83.4,High
36d1a951-8c59-4a10-8628-80202c8b985b,Developer,20,24.9,55.8,13.5,4.0,Low,2.1,6.3,1.12,7,4.9,5.9,6.48,98.2,Medium
7792a962-4945-4d46-b243-0e303db37b0c,Writer,19,5.7,22.2,20.7,1.5,High,1.0,6.7,3.36,5,6.6,6.2,9.54,69.6,High
6b5933c1-b099-42aa-a4ed-e21b7033ee30,Writer,17,6.4,11.0,23.9,2.0,Low,3.9,4.9,2.38,9,5.9,7.5,5.3,78.3,Medium
